metric,value
question_count,100
must_have_image_count,25
image_helpful_count,25
text_only_count,25
no_image_count,25
query_embedding_mode,real
min_image_relevance_score,0.5000
returned_image_count,275
relevant_image_count,158
image_precision,0.5745
image_recall,0.9400
must_have_recall,0.9200
image_helpful_hit_rate,0.9600
image_suppression,0.5600
top1_caption_match_rate,0.4600
topk_caption_match_rate,0.6200
expected_path_hit_rate,0.0200
caption_coverage_in_results,0.5382
page_number_coverage_in_results,1.0000
wrong_generic_curve_rate,0.1176
returned_question_count,72
error_count,0
threshold_decision,needs_rerank
elapsed_seconds,27.204
