config_name,suite,status,passed,total,chat_provider,chat_model_name,embedding_provider,embedding_model_name,embedding_dimension,source_file,skipped_reason,notes
deterministic_baseline,keyword,completed,15,15,deterministic,rule-based-chat-v1,deterministic,hash-token-v1,64,data\evaluation\keyword_results.csv,,Stable offline baseline. Does not require API keys.
deterministic_baseline,vector,completed,11,15,deterministic,rule-based-chat-v1,deterministic,hash-token-v1,64,data\evaluation\vector_results.csv,,Stable offline baseline. Does not require API keys.
deterministic_baseline,hybrid,completed,15,15,deterministic,rule-based-chat-v1,deterministic,hash-token-v1,64,data\evaluation\hybrid_results.csv,,Stable offline baseline. Does not require API keys.
deterministic_baseline,chat,completed,6,6,deterministic,rule-based-chat-v1,deterministic,hash-token-v1,64,data\evaluation\chat_results.csv,,Stable offline baseline. Does not require API keys.
deterministic_baseline,agent,completed,5,5,deterministic,rule-based-chat-v1,deterministic,hash-token-v1,64,data\evaluation\agent_results.csv,,Stable offline baseline. Does not require API keys.
deterministic_baseline,brain_workflow,completed,12,18,deterministic,rule-based-chat-v1,deterministic,hash-token-v1,64,data\evaluation\brain_workflow_results.csv,,Stable offline baseline. Does not require API keys.
real_config,keyword,skipped,0,0,,,,,,,"Incomplete real model configuration: CHAT_MODEL_PROVIDER, CHAT_MODEL_NAME, CHAT_MODEL_API_KEY, CHAT_MODEL_BASE_URL, EMBEDDING_PROVIDER, EMBEDDING_MODEL_NAME, EMBEDDING_API_KEY, EMBEDDING_BASE_URL, EMBEDDING_DIMENSION",Skipped so local evaluation remains reproducible without real API credentials.
real_config,vector,skipped,0,0,,,,,,,"Incomplete real model configuration: CHAT_MODEL_PROVIDER, CHAT_MODEL_NAME, CHAT_MODEL_API_KEY, CHAT_MODEL_BASE_URL, EMBEDDING_PROVIDER, EMBEDDING_MODEL_NAME, EMBEDDING_API_KEY, EMBEDDING_BASE_URL, EMBEDDING_DIMENSION",Skipped so local evaluation remains reproducible without real API credentials.
real_config,hybrid,skipped,0,0,,,,,,,"Incomplete real model configuration: CHAT_MODEL_PROVIDER, CHAT_MODEL_NAME, CHAT_MODEL_API_KEY, CHAT_MODEL_BASE_URL, EMBEDDING_PROVIDER, EMBEDDING_MODEL_NAME, EMBEDDING_API_KEY, EMBEDDING_BASE_URL, EMBEDDING_DIMENSION",Skipped so local evaluation remains reproducible without real API credentials.
real_config,chat,skipped,0,0,,,,,,,"Incomplete real model configuration: CHAT_MODEL_PROVIDER, CHAT_MODEL_NAME, CHAT_MODEL_API_KEY, CHAT_MODEL_BASE_URL, EMBEDDING_PROVIDER, EMBEDDING_MODEL_NAME, EMBEDDING_API_KEY, EMBEDDING_BASE_URL, EMBEDDING_DIMENSION",Skipped so local evaluation remains reproducible without real API credentials.
real_config,agent,skipped,0,0,,,,,,,"Incomplete real model configuration: CHAT_MODEL_PROVIDER, CHAT_MODEL_NAME, CHAT_MODEL_API_KEY, CHAT_MODEL_BASE_URL, EMBEDDING_PROVIDER, EMBEDDING_MODEL_NAME, EMBEDDING_API_KEY, EMBEDDING_BASE_URL, EMBEDDING_DIMENSION",Skipped so local evaluation remains reproducible without real API credentials.
real_config,brain_workflow,skipped,0,0,,,,,,,"Incomplete real model configuration: CHAT_MODEL_PROVIDER, CHAT_MODEL_NAME, CHAT_MODEL_API_KEY, CHAT_MODEL_BASE_URL, EMBEDDING_PROVIDER, EMBEDDING_MODEL_NAME, EMBEDDING_API_KEY, EMBEDDING_BASE_URL, EMBEDDING_DIMENSION",Skipped so local evaluation remains reproducible without real API credentials.
