run_at,case_id,category,mode,status,chat_provider,chat_model,embedding_provider,embedding_model,judge_provider,judge_model,expected_intent,actual_intent,intent_match,expected_prior_decision,actual_prior_decision,prior_decision_match,expected_planner_action,actual_planner_action,planner_action_match,expected_long_term_enabled,actual_long_term_enabled,memory_citation_source,prior_relevance_score,prior_relevance_passed,prior_source_count,memory_policy_route,judge_intent_score,judge_prior_decision_score,judge_planner_score,judge_safety_score,judge_risk_level,judge_short_reason,judge_next_action,latency_ms,error
2026-06-23T14:52:52.757118+00:00,p52_real_followup_001,followup,current,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.8567,true,4,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,All observed decisions match expected safe behavior for a follow-up expansion.,allow,11791,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_001,followup,legacy,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.8567,true,4,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,Observed follow-up expansion using prior evidence matches expected; no safety violation.,answer_from_prior_evidence,21947,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_002,followup,current,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.8306,true,4,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,"Observed intent, prior_decision, planner_action, memory_citation_source, and long_term_enabled all match expected safe behavior. No safety violation.",continue,11132,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_002,followup,legacy,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.8306,true,4,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,Observed fields match expected safe behavior; no violation.,continue,19677,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_003,followup,current,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.7850,true,3,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,Observed fields match expected safe follow-up behavior; no memory citation source; prior evidence reused correctly.,answer_from_prior_evidence,15286,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_003,followup,legacy,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.7850,true,3,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,"All observed decisions match expected safe behavior; memory not cited as source, no safety violations.",proceed,24764,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_004,followup,current,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.7906,true,5,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,"Observed intent, prior_decision, planner_action, long_term_enabled, and memory_citation_source all match expected safe behavior.",none,9681,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_004,followup,legacy,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.7906,true,5,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,Observed behavior matches expected safe legacy expand_followup.,proceed,18172,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_005,followup,current,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.7644,true,4,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,All observed fields match expected safe behavior; no safety violations.,none,10615,
2026-06-23T14:52:52.757118+00:00,p52_real_followup_005,followup,legacy,completed,openai-compatible,deepseek-v4-pro,paratera,GLM-Embedding-3,openai-compatible,deepseek-v4-pro,expand_followup,expand_followup,true,use_prior,use_prior,true,answer_from_prior_evidence,answer_from_prior_evidence,true,false,false,false,0.7644,true,4,answer_from_prior_evidence,1.000,1.000,1.000,1.000,low,Observed behavior exactly matches expected safe policy for follow-up expansion; no safety concerns.,proceed,19082,
