document_id,document_title,page_num,source_image_path,width,height,status,description,error,route,staging_csv
1064,FEMA Dam Incident Planning Guide,12,data/images/1064/page12_render1.png,975,712,described,"这是一张关于大坝事故管理中应急管理人员与坝主协作的流程图。中心区域标注“COLLABORATION”，说明应急管理人员和坝主在坝事故发生前、中、后共同管理规划、响应和恢复工作，配图为两人握手（一人穿反光背心戴帽子，另一人戴安全帽）。从中心延伸出三个分支：  
1. “PLANNING”分支：图标为两人（一人戴安全帽、一人戴帽子）手持带警告标志的文件；文字说明“Understanding: Inundation maps, Population and infrastructure consequences, Incident timelines”。  
2. “RESPONSE”分支：图标包含水坝（带警告标志）、房屋、人物（戴安全帽和反光背心）；文字说明“Activating existing plans to: Determine incident levels and trigger notifications, Assist all affected populations and infrastructure, Address resource needs”。  
3. “RECOVERY”分支：图标包含水坝（带绿色对勾）、房屋、人物（戴安全帽和反光背心，还有家庭）；文字说明“Understanding: Access and re - entry requirements, Dam restoration timeline, Lifeline infrastructure restoration timeline, Lessons learned”。",,official_a_1,data/evaluation/phase46_redescribe_staging/official_a_1/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,15,data/images/1064/page15_render1.png,944,175,described,图片顶部为蓝色背景，白色文字显示“KEY TAKEAWAY”；下方为白色背景，黑色文字段落内容为：“Emergency management officials must understand the impact that a dam incident could have on life and property. Being able to both to recognize the dam hazard potential classification and understand potential failure modes provides officials with a better understanding of the potential severity of an incident.”,,official_a_2,data/evaluation/phase46_redescribe_staging/official_a_2/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,15,data/images/1064/page15_render3.png,699,451,described,这是一张大坝结构剖面图，标注了多个部件。图中主要部件包括坝体（Embankment）、心墙（Core）、垂直滤层（Vertical filter）、浸润线（Phreatic surface）、褥垫排水（Blanket drain）、基础（Foundation）、板桩截水墙（Sheet piling cutoff）、截水槽（Cutoff trench）、管道（Pipe conduit）、防渗环（Anti - seepage collar）、拦污栅（Trashrack）、竖井（Riser）、排水闸（Drain gate）、排水入口（Drain inlet）、出口（Outlet）、坝趾（Toe of dam）、坝趾排水（Toe drain）、护岸区（Groin area）、抛石护坡（Riprap slope protection）、超高（Freeboard）、坝顶（Crest）。各部件的相对位置关系为：心墙位于坝体内部，垂直滤层环绕心墙；浸润线在坝体与基础区域；褥垫排水铺设于基础上方；板桩截水墙设置于基础中；截水槽位于坝体底部；管道穿过坝体底部，防渗环包裹管道；拦污栅位于竖井入口处；排水闸控制竖井内水流；排水入口连接管道；出口位于管道末端；坝趾为坝体下游端，坝趾排水邻近坝趾；护岸区在坝体两侧，抛石护坡覆盖坝坡；超高为坝顶至水面的垂直距离，坝顶是坝体顶部。,,official_b_1,data/evaluation/phase46_redescribe_staging/official_b_1/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,16,data/images/1064/page16_render1.png,975,441,described,这是一幅大坝结构示意图，图中标注了以下部件：Reservoir（水库）、Crest（坝顶）、Upstream Slope (Face)（上游坡面）、Downstream Slope (Face)（下游坡面）、Abutment Contact (Groin)（坝肩接触处/坝踵）、Toe Drain（坝趾排水）、Toe Drain Outfall（坝趾排水出口）、Outlet Works（泄水建筑物）、Principal or Service Spillway (Drop Inlet Riser)（主或服务溢洪道/跌落式进水竖井）、Auxiliary Spillway（辅助溢洪道）。图中显示水库位于大坝上游侧，大坝具有上下游坡面，坝顶为Crest；坝肩接触处（Abutment Contact）位于大坝与两岸的连接部位；坝趾排水（Toe Drain）及排水出口（Toe Drain Outfall）位于大坝下游坡面底部；泄水建筑物（Outlet Works）靠近坝趾排水出口；主或服务溢洪道（Principal or Service Spillway）通过跌落式进水竖井连接水库，辅助溢洪道（Auxiliary Spillway）位于大坝下游侧的岸边。,,official_b_2,data/evaluation/phase46_redescribe_staging/official_b_2/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,17,data/images/1064/page17_render1.png,950,189,described,图片展示的是关于“5.2.2 Overview of Potential Dam Incidents”的内容。上方蓝色标题栏显示章节标题“5.2.2 Overview of Potential Dam Incidents”，下方蓝色区域标注“KEY TAKEAWAY”，其下方文字内容为“Understanding the various types of incidents and their potential impacts is important to creating a relevant and useful plan.”。,,paratera_c,data/evaluation/phase46_redescribe_staging/paratera_c/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,19,data/images/1064/page19_render1.png,949,221,described,这是一张包含文本内容的图片，顶部标题为“5.2.4 Gathering Information about the Dam”。下方有一个蓝色背景的“KEY TAKEAWAY”栏，栏内文字内容为：“Understanding a dam owner and operator’s analysis products will help to ensure that emergency managers know the potential impacts on their communities. Regular communication with dam owners and operators will help emergency management officials keep their plans and dam fact sheets up to date.” 图片整体呈现文本信息，无图表、结构图或流程图元素，主要传达与大坝信息收集相关的关键要点。,,official_a_1,data/evaluation/phase46_redescribe_staging/official_a_1/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,1,data/images/1064/page1_render1.png,1275,835,described,这是一张航拍图像，画面中可见大面积水域（湖泊），湖泊周边分布着居民区（包含多栋房屋及道路），区域被茂密的森林（树木）覆盖，同时存在裸露的施工场地（土地呈浅褐色，有施工痕迹），还有道路（包括弯曲的道路）穿插于居民区和森林之间。,,official_a_2,data/evaluation/phase46_redescribe_staging/official_a_2/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,26,data/images/1064/page26_render1.png,945,120,described,"图片顶部为蓝色背景的标题“KEY TAKEAWY”，下方白色背景区域显示文字内容：“Develop thresholds that will trigger specific response actions. When time is of the essence, knowing exactly which protective action to order can save lives.”",,official_b_1,data/evaluation/phase46_redescribe_staging/official_b_1/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,32,data/images/1064/page32_render1.png,1060,649,described,"这张图片展示了应急响应的五个阶段，每个阶段配有对应图标和文字说明，从上到下依次为：  
1. **Mobilization Phase（动员阶段）**：图标为红色三角形警告标志，文字说明该阶段始于识别可能导致疏散的威胁或危险，首项活动是初步通知人员、系统和资源以建立事件指挥与管理结构，应急管理人员协调决策防护行动与优先级、发布疏散建议及公众信息，建议考虑社区疏散程序和协议。  
2. **Evacuation Phase（疏散阶段）**：图标为人物跑向门的图形，文字说明该阶段始于需要疏散操作时（可发生在动员阶段之后或同时），疏散行动因事件规模和范围而异；对于可通知事件，此阶段可在影响阶段前；对于无通知或可通知事件，在影响阶段后，以实现事件目标和保护生命财产。  
3. **Impact Phase（影响阶段）**：图标为蓝色盾牌带锁，文字说明对于可通知事件，社区为设施、人员、设备安全及清理交通系统做准备；“零小时”标记危险开始影响时确保第一响应者安全的时间，是响应者不再安全的指定时间点；对于无通知事件，影响、动员、疏散阶段可压缩或同时发生。  
4. **Mass Care Phase（大规模护理阶段）**：图标为手持手机带红十字，文字说明若人员疏散到社区外，灾民留在接待社区直到原社区安全可返回；此阶段应与接待社区沟通协调避难所、灾民数量、类型及疏散时长。  
5. **Re - entry Phase（重新进入阶段）**：图标为绿色房屋带人物，文字说明该阶段包含威胁或危险消退后，灾民返回原社区的协调行动；重新进入通常标志着从即时响应活动过渡，第一响应者可能先返回稳定区域，使居民能返回社区。",,official_b_2,data/evaluation/phase46_redescribe_staging/official_b_2/multimodal_staging.csv
1064,FEMA Dam Incident Planning Guide,32,data/images/1064/page32_render2.png,944,117,described,"图片上方是蓝色背景的标题“KEY TAKEAWY”（疑似拼写错误，应为“KEY TAKEAWAY”），下方白色背景区域显示文字内容为“When writing public messaging, use clear messages, know the audience, and consider the context.”。",,paratera_c,data/evaluation/phase46_redescribe_staging/paratera_c/multimodal_staging.csv
